03/18/2011 16:39:39.99	w3wp.exe (0x5338)	0x2D60	SharePoint Portal Server	Runtime	8gp7	Medium	Topology cache updated. (AppDomain: /LM/W3SVC/1611157609/ROOT-1-129449650597801547)	
03/18/2011 16:39:46.01	w3wp.exe (0x5338)	0x3AB8	SharePoint Foundation	Monitoring	nasq	Medium	Entering monitored scope (Request (GET:http://nrobarge7:80/_layouts/15/WordViewer.aspx?id=/Shared%20Documents/ArrowCrop.docx&Source=http%3A%2F%2Fnrobarge7%2FShared%2520Documents%2FForms%2FAllItems%2Easpx&DefaultItemOpen=1))	
03/18/2011 16:39:46.01	w3wp.exe (0x5338)	0x3AB8	SharePoint Foundation	Logging Correlation Data	xmnv	Medium	Name=Request (GET:http://nrobarge7:80/_layouts/15/WordViewer.aspx?id=/Shared%20Documents/ArrowCrop.docx&Source=http%3A%2F%2Fnrobarge7%2FShared%2520Documents%2FForms%2FAllItems%2Easpx&DefaultItemOpen=1)	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
03/18/2011 16:39:46.01	w3wp.exe (0x5338)	0x3AB8	SharePoint Foundation	Cobalt	abnwk	Unexpected	|[PSTRACE]_[PWA]_[BEGIN]_[0 ms]_[]_[http://nrobarge7/_layouts/15/WordViewer.aspx?id=/Shared Documents/ArrowCrop.docx&Source=http://nrobarge7/Shared%2520Documents/Forms/AllItems.aspx&DefaultItemOpen=1]_[1c1fedb6-4e27-41e0-9a61-aa624a926352]_[c6d7ab06-9e35-4f10-8094-90bd923a4868]_[29300d80-b62b-420e-80c1-aab0037ab4ec]_[0]  StackTrace:    at Microsoft.Office.Project.PWA.PwaAuthenticationModule.Application_BeginRequest(Object sender, EventArgs e)     at System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute()     at System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)     at System.Web.HttpApplication.PipelineStepManager.ResumeSteps(Exception error)     at System.Web.HttpApplication.BeginProcessRequestNotification(HttpContext context, AsyncCallback cb)     at System.Web.HttpRuntime.ProcessRequestNotificationPrivate(IIS7WorkerRequest wr, HttpContext context)     at System.Web.Hosting.PipelineRuntime.ProcessRequestNotificationHelper(IntPtr managedHttpContext, IntPtr nativeRequestContext, IntPtr moduleData, Int32 flags)     at System.Web.Hosting.PipelineRuntime.ProcessRequestNotification(IntPtr managedHttpContext, IntPtr nativeRequestContext, IntPtr moduleData, Int32 flags)	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
03/18/2011 16:39:46.04	w3wp.exe (0x5338)	0x3AB8	SharePoint Foundation	Logging Correlation Data	xmnv	Medium	Site=/	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
03/18/2011 16:39:46.35	w3wp.exe (0x5338)	0x3AB8	Office Web Apps	Unified Logging Service	b8fx	High	ULS Init Completed (w3wp.exe, Microsoft.Office.Web.Environment.Sharepoint.ULS.Native.dll)	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
03/18/2011 16:39:46.59	w3wp.exe (0x5338)	0x3AB8	Office Web Apps	Office Web Apps Logging	vinh	Verbose	Build number: 15.0.2707.3000	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
03/18/2011 16:39:46.59	w3wp.exe (0x5338)	0x3AB8	Office Web Apps	Office Web Apps common	f9xt	Medium	LogId 'Ff2ed3549107e4ba889760a670d4e979fm23bcff53776c4cf482263565f11ca509m7a5225cf2c284b6286519fcd3aba9ddam' has item url: /Shared Documents/ArrowCrop.docx	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
03/18/2011 16:39:46.66	w3wp.exe (0x5338)	0x3AB8	SharePoint Foundation	Performance	b178	Medium	Maximal view generated for list item query.  GetListItemDataWithCallback2(http://nrobarge7, null, <View Scope="RecursiveAll" ModerationType="Moderator"><Query><Where><And><Eq><FieldRef Name="FileLeafRef"/><Value Type="Text">Shared Documents</Value></Eq><Eq><FieldRef Name="FileDirRef"/><Value Type="Text"></Value></Eq></And></Where></Query><RowLimit Paged="TRUE">1</RowLimit></View>)	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
03/18/2011 16:39:46.66	w3wp.exe (0x5338)	0x3AB8	SharePoint Foundation	Monitoring	b4ly	High	Leaving Monitored Scope (EnsureListItemsData). Execution Time=42.5547087824057	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
03/18/2011 16:39:46.68	w3wp.exe (0x5338)	0x3AB8	SharePoint Foundation	Performance	b178	Medium	Maximal view generated for list item query.  GetListItemDataWithCallback2(http://nrobarge7, null, <View Scope="RecursiveAll" ModerationType="Moderator"><Query><Where><And><Eq><FieldRef Name="FileLeafRef"/><Value Type="Text">ArrowCrop.docx</Value></Eq><Eq><FieldRef Name="FileDirRef"/><Value Type="Text">Shared Documents</Value></Eq></And></Where></Query><RowLimit Paged="TRUE">1</RowLimit></View>)	3ad81d9b-c01d-c0d3-1ab4-cc75daffbf63
